id,Lifestage_at_tagging,Date_tagged,Length,First.exit,First.entry,Time.sea1,First.recap,Length.recap1,Second.exit,Second.entry,Time.sea2,Second.recap,Length.recap2,Third.exit,Third.entry,Time.sea3,Third.recap,Length.recap3
37628,Sea trout,3/27/2015,52.4,3/27/2015,6/16/2016,447.3051042,11/29/2017,76,2/19/2017,6/30/2017,130.2096759,,,,,,,
192876,Sea trout,3/28/2015,23.35,3/28/2015,7/30/2017,855.9751157,11/29/2017,92,12/24/2017,,,,,,,,,
195650,Sea trout,4/11/2015,34.69,4/11/2015,11/9/2015,212.6034838,12/5/2016,60,1/30/2016,,,,,1/11/2017,,,,
196612,Sea trout,4/13/2015,45.3,4/13/2015,6/4/2016,418.0686343,12/6/2016,69,2/4/2017,,,,,,,,,
197762,Sea trout,4/16/2015,20.26,4/16/2015,7/21/2016,462.632419,11/30/2016,60,,,,,,,,,,
199285,Sea trout,4/20/2015,23.01,4/20/2015,12/8/2016,598.6943403,,,12/23/2016,10/28/2017,308.2259954,11/30/2017,63,12/7/2017,,,,
199534,Sea trout,4/20/2015,30.36,4/20/2015,10/8/2015,171.9477083,,,,,,11/29/2016,60,,,,,
202031,Sea trout,4/21/2015,20.36,4/21/2015,9/18/2016,516.2935648,12/5/2016,51,3/2/2017,,,,,,,,,
205338,Sea trout,5/5/2015,20.99,5/5/2015,11/15/2016,560.5990741,12/6/2016,53,12/24/2016,,,,,,,,,
206300,Sea trout,5/6/2015,43,5/6/2015,11/15/2015,193.348044,,,4/6/2016,,,12/5/2016,56,3/25/2017,10/14/2017,202.1446412,11/30/2017,62
207677,Sea trout,5/6/2015,20.02,5/6/2015,8/4/2016,456.2386574,12/6/2016,52,,,,,,,,,,
191540,Sea trout,6/4/2015,32.94,6/4/2015,11/5/2016,520.9049884,12/8/2016,63,,,,,,,,,,
254010,Sea trout,3/17/2016,33.3,3/17/2016,9/28/2016,195.0091898,12/6/2016,47,1/16/2017,,,,,,,,,
254074,Sea trout,3/27/2016,40,3/27/2016,11/6/2016,224.0812269,12/5/2016,51,1/18/2017,,,,,,,,,
254276,Sea trout,3/29/2016,37.02,3/29/2016,7/22/2017,480.9651157,11/30/2017,54,12/24/2017,,,,,,,,,
256805,Sea trout,4/9/2016,47.4,4/9/2016,12/12/2016,247.7012269,,,2/27/2017,11/23/2017,268.1669444,11/28/2017,60,1/28/2019,,,,
257862,Sea trout,4/29/2016,33.13,4/29/2016,11/20/2016,205.6931019,,,2/22/2017,10/20/2017,240.0508449,11/28/2017,59,12/23/2017,,,,
548256,Sea trout,11/29/2016,38,2/20/2017,6/9/2017,108.4407523,11/28/2017,46,,,,,,,,,,
548471,Sea trout,11/29/2016,38,2/11/2017,11/22/2017,284.5216667,11/30/2017,52,11/30/2017,,,,,,,,,
548370,Sea trout,11/29/2016,39,1/19/2017,7/22/2017,183.3097222,11/28/2017,52,1/29/2018,,,,,,,,,
548320,Sea trout,11/29/2016,41,12/26/2016,6/29/2017,184.6190625,12/1/2017,50,12/21/2017,,,,,,,,,
548531,Sea trout,11/29/2016,41.5,1/21/2017,7/25/2017,184.4024884,11/28/2017,60,2/7/2018,,,,,,,,,
548329,Sea trout,11/29/2016,42,2/16/2017,,,11/28/2017,52,,,,,,,,,,
548619,Sea trout,11/29/2016,42.2,1/3/2017,8/31/2017,240.1036806,,,12/23/2017,7/8/2018,197.0061227,11/26/2018,53.5,,,,,
548532,Sea trout,11/29/2016,43.1,1/11/2017,,,11/28/2017,53,,11/29/2018,NA,,,,,,,
548584,Sea trout,11/29/2016,43.4,12/15/2016,7/20/2017,216.2667708,11/30/2017,52,11/30/2017,7/5/2018,216.0700347,,,11/27/2018,,,,
548602,Sea trout,11/29/2016,43.7,2/20/2017,11/30/2017,282.2012731,12/1/2017,52,12/14/2017,,,,,,,,,
548315,Sea trout,11/29/2016,44,2/28/2017,7/21/2017,142.9887037,11/29/2017,58,3/20/2018,6/6/2018,78.2065625,11/28/2018,60,2/5/2019,,,,
548618,Sea trout,11/29/2016,44,2/15/2017,7/7/2017,142.1354977,11/28/2017,57,12/30/2017,,,,,,,,,
548667,Sea trout,11/29/2016,44.7,1/8/2017,10/28/2017,292.8512616,12/1/2017,57,12/21/2017,,,,,,,,,
548637,Sea trout,11/29/2016,45.2,1/23/2017,11/1/2017,281.3522569,11/28/2017,58,12/25/2017,,,,,,,,,
548544,Sea trout,11/29/2016,45.5,1/11/2017,11/22/2017,315.0080093,11/28/2017,57,12/10/2017,,,,,,,,,
548572,Sea trout,11/29/2016,46.7,12/17/2016,7/16/2017,210.9855556,11/29/2017,56,,,,,,,,,,
548250,Sea trout,11/29/2016,47,12/24/2016,6/22/2017,180.1003009,11/29/2017,54,11/29/2017,,,,,,,,,
548603,Sea trout,11/29/2016,48,12/9/2016,10/20/2017,315.692662,,,12/2/2017,6/11/2018,191.1122801,11/26/2018,63,12/5/2018,,,,
548389,Sea trout,11/29/2016,48,2/13/2017,6/30/2017,136.0595602,11/28/2017,55,1/23/2018,,,,,,,,,
548511,Sea trout,11/29/2016,48.2,1/11/2017,11/14/2017,306.9426505,11/28/2017,57,12/20/2018,,,,,,,,,
548484,Sea trout,11/29/2016,51,12/6/2016,10/17/2017,315.168588,,,11/26/2017,6/10/2018,195.9244444,11/26/2018,69,11/26/2018,,,,
548404,Sea trout,11/29/2016,56,1/11/2017,11/23/2017,315.3583218,11/28/2017,59,12/26/2017,11/9/2018,318.4893634,11/26/2018,62,12/15/2018,,,,
548354,Sea trout,11/29/2016,57,1/10/2017,5/31/2017,141.077338,11/30/2017,62,11/30/2017,6/22/2018,203.6119676,11/26/2018,64.5,,,,,
548412,Sea trout,11/29/2016,58,11/29/2017,,,11/29/2017,63,,,,,,,,,,
548558,Sea trout,11/29/2016,58.1,1/11/2017,7/22/2017,191.8956134,11/28/2017,66,,,,,,,,,,
548580,Sea trout,11/29/2016,60.7,2/19/2017,11/22/2017,275.3452315,,,,8/10/2018,,11/29/2018,72.5,12/30/2018,,,,
548258,Sea trout,11/29/2016,62,12/24/2016,11/22/2017,333.1262269,11/29/2017,67,12/16/2017,,,,,,,,,
548416,Sea trout,11/29/2016,67,12/24/2016,10/14/2017,293.8725926,11/28/2017,74,,,,,,,,,,
548225,Sea trout,11/29/2016,68,12/26/2016,,,,,12/8/2017,7/13/2018,216.82,11/26/2018,78,12/22/2018,,,,
548386,Sea trout,11/29/2016,78,2/28/2017,10/26/2017,240.5849074,11/28/2017,78,12/23/2017,,,,,,,,,
548202,Sea trout,11/30/2016,36,12/10/2016,,,11/28/2017,47,12/7/2017,6/4/2018,179.79,,,11/15/2018,6/16/2019,212.1853819,,
548106,Sea trout,11/30/2016,39,1/15/2017,6/15/2017,150.1340972,11/30/2017,50,,,,,,,,,,
548702,Sea trout,11/30/2016,39.6,1/10/2017,7/21/2017,191.242338,11/28/2017,50,,,,,,,,,,
266136,Sea trout,11/30/2016,42,2/17/2017,7/6/2017,138.8911343,,,1/17/2018,6/4/2018,138.0868056,11/29/2018,53.5,1/8/2019,6/13/2019,155.3875694,,
548733,Sea trout,11/30/2016,43.3,11/30/2016,6/12/2017,193.9560995,11/29/2017,53,,,,,,,,,,
548112,Sea trout,11/30/2016,44,12/24/2016,6/30/2017,187.8640856,,,12/12/2017,6/4/2018,173.8211227,11/29/2018,56,12/7/2018,6/20/2019,194.2224769,,
548176,Sea trout,11/30/2016,45,2/13/2017,9/27/2017,226.1796412,11/30/2017,53,1/8/2018,,,,,,,,,
548579,Sea trout,11/30/2016,47,2/17/2017,7/16/2017,148.2691898,,,2/16/2018,7/10/2018,143.3631019,11/29/2018,63.5,,,,,
548113,Sea trout,11/30/2016,47,12/28/2016,7/20/2017,204.1107755,11/30/2017,54,12/16/2017,,,,,,,,,
548101,Sea trout,11/30/2016,47,1/5/2017,10/28/2017,296.5173148,11/29/2017,58,,,,,,,,,,
266127,Sea trout,11/30/2016,50,1/16/2017,10/28/2017,284.5475579,11/29/2017,63,12/28/2017,,,,,,,,,
548130,Sea trout,11/30/2016,51,12/31/2016,10/14/2017,286.887963,11/30/2017,56,,,,,,,,,,
548688,Sea trout,11/30/2016,51.1,12/23/2016,6/11/2017,170.2036574,11/29/2017,57,12/30/2017,6/7/2018,159.8745949,11/27/2018,60,,,,,
266125,Sea trout,11/30/2016,51.3,12/25/2016,11/22/2017,331.9646296,11/28/2017,60,12/7/2017,11/15/2018,343.387419,,,12/4/2018,,,,
548719,Sea trout,11/30/2016,52.5,3/26/2017,9/10/2017,168.4409375,11/29/2017,60,NA,7/20/2018,,,,11/27/2018,7/28/2019,242.9198958,,
548210,Sea trout,11/30/2016,53,12/27/2016,7/27/2017,211.1153125,12/1/2017,61,12/1/2017,9/8/2018,280.4620602,,,,,,,
548121,Sea trout,11/30/2016,53,3/14/2017,7/22/2017,129.7380093,,,3/22/2018,,,11/29/2018,66.5,,,,,
548186,Sea trout,11/30/2016,56,12/12/2016,10/23/2017,315.7259028,11/29/2017,69,,,,,,,,,,
266124,Sea trout,11/30/2016,60.8,12/24/2016,6/30/2017,187.4995023,,,11/29/2017,7/6/2018,219.7285995,11/27/2018,72,12/3/2018,7/7/2019,215.744838,,
548685,Sea trout,11/30/2016,61.5,1/11/2017,6/19/2017,158.2216898,12/1/2017,67,1/24/2018,,,,,,,,,
548083,Sea trout,11/30/2016,63,11/30/2016,11/13/2017,347.2727431,11/30/2017,70,12/25/2017,10/31/2018,310.3039468,,,,,,,
548748,Sea trout,11/30/2016,72,12/6/2016,7/22/2017,228.0710764,11/29/2017,79,12/7/2017,,,,,,,,,
548109,Sea trout,11/30/2016,76,12/27/2016,10/19/2017,296.0590278,11/28/2017,85,12/3/2017,,,,,,,,,
548673,Sea trout,11/30/2016,78,12/6/2016,7/20/2017,226.4405093,11/28/2017,78,12/6/2017,,,,,,,,,
266076,Sea trout,12/1/2016,44,12/1/2016,10/14/2017,317.53625,11/28/2017,51,12/5/2017,,,,,,,,,
266097,Sea trout,12/1/2016,46,12/25/2016,10/21/2017,299.1800694,11/30/2017,56,,,,,,,,,,
118180,Smolt,9/26/2014,13.44,5/4/2015,6/14/2017,772.4518866,,,1/24/2018,5/29/2018,125.6637963,11/28/2018,61.5,2/1/2019,,,,
118017,Smolt,9/26/2014,13.65,,,,11/28/2017,49,,,,,,,,,,
118240,Smolt,9/26/2014,13.69,1/27/2015,6/15/2016,504.2380671,11/29/2016,55,12/14/2016,6/11/2017,178.5138542,,,12/11/2017,,,,
119392,Smolt,10/24/2014,11.2,5/5/2015,9/28/2016,511.1995602,11/29/2016,53,12/9/2016,,,,,,,,,
